10 1117 3892
2 175     352.826904 959.672607
3 175     341.921173 933.903870
4 175     274.584564 843.678345
5 175     286.554321 819.849915
1 176     300.740692 996.567261
2 176     363.306915 949.816528
3 176     352.722992 921.207764
4 176     285.880341 828.034668
5 176     297.496765 805.359802
6 176     487.752686 790.854126
7 176     541.518005 683.966553
9 176     469.597351 950.748535
1 177     581.443970 827.282959
2 177     638.697083 769.247620
3 177     636.602600 738.460022
5 177     590.025818 617.557373
1 178     571.070435 833.142639
2 178     627.942444 774.854187
3 178     624.652344 743.682434
4 178     569.300415 643.269592
5 178     576.802734 622.466064
1 179     443.484283 877.407898
2 179     509.040680 837.626953
5 179     446.575562 670.924438
1 180     420.724854 1104.220581
2 180     481.815460 1049.089844
3 180     472.488525 1015.674377
5 180     417.123718 894.940857
1 181     523.296570 582.309509
2 181     585.896179 536.217834
1 182     281.934174 984.463562
2 182     344.754333 938.639404
5 182     276.171265 792.522705
1 183     421.216675 412.063354
2 183     477.020081 349.938629
1 184     367.027954 445.829010
2 184     427.723358 400.792389
1 185     446.156006 553.582764
2 185     512.304199 512.190125
3 185     504.396301 495.878967
1 186     402.182159 586.201721
2 186     466.355957 547.255981
3 186     456.575317 535.185059
4 186     402.201385 473.896362
5 186     411.919250 430.662262
6 186     607.714905 461.702240
7 186     672.469177 383.968567
8 186     466.062195 811.808960
9 186     600.683472 689.673279
1 187     355.887787 665.670593
2 187     420.349182 628.772095
5 187     358.240845 510.690521
6 187     552.666504 542.782654
7 187     614.114380 463.044525
8 187     400.730011 878.020935
1 188     563.177734 783.703308
2 188     620.451111 725.733643
1 189     574.539917 792.469849
3 189     630.117126 704.815247
4 189     576.036682 606.479126
5 189     583.247803 584.344116
1 190     114.887634 791.463379
2 190     160.204849 718.070557
1 191     207.468094 1106.581177
2 191     269.296570 1052.713257
1 192     406.010651 410.887054
2 192     455.761078 347.695496
1 193     354.157990 680.162170
2 193     419.411957 644.013062
3 193     406.774902 631.706787
4 193     347.693665 571.500977
5 193     358.251282 527.861816
6 193     550.890015 558.246521
7 193     611.839172 478.052948
8 193     399.535095 890.453613
9 193     539.715088 777.640991
1 194     495.016357 450.754242
2 194     555.015686 400.243042
1 195     290.767303 438.087769
2 195     346.916473 385.452881
3 195     343.635468 356.637177
4 195     289.446899 261.235718
5 195     297.779816 231.146866
1 196     296.809113 428.901855
2 196     351.002014 375.212463
1 197     323.401489 411.967865
2 197     376.015686 352.301971
1 198     342.985779 468.622498
2 198     404.547974 423.138336
3 198     395.695557 402.478455
5 198     350.790131 286.903992
1 199     424.665588 496.082581
2 199     486.279907 454.158447
4 199     428.654083 369.788147
7 199     703.690857 278.026611
8 199     500.528412 715.699463
9 199     628.562561 587.470764
1 200     216.853607 592.115295
3 200     267.329834 517.296814
4 200     207.488525 424.036438
5 200     218.156036 395.513550
1 201     344.298187 658.010681
2 201     409.352783 621.692261
3 201     396.927368 608.700378
4 201     338.336823 548.463501
5 201     349.057465 504.455353
6 201     541.693237 535.815857
7 201     603.057373 456.619232
8 201     391.388611 872.995483
9 201     530.842285 756.926819
1 202     138.252335 763.975891
2 202     184.266098 688.121765
3 202     189.318481 627.464905
5 202     132.336929 471.987976
6 202     320.374084 389.340637
7 202     380.004761 245.404480
9 202     306.763977 495.964844
1 203     132.030884 771.398804
2 203     178.227753 697.837402
3 203     183.721802 636.609558
4 203     118.682358 475.794342
5 203     127.032883 482.552338
6 203     314.451416 405.024384
7 203     373.830872 262.220856
1 204     583.238464 802.968750
2 204     640.862427 745.177002
3 204     638.254456 714.604736
4 204     585.847473 615.322388
5 204     592.213623 594.172424
6 204     795.762451 570.476135
1 205     289.055939 426.427734
2 205     341.663422 370.662140
3 205     338.874664 337.810242
1 206     247.097229 485.416748
2 206     302.516113 436.921448
3 206     295.983368 409.563843
4 206     235.528061 316.821106
5 206     246.087296 286.367828
8 206     357.187225 441.419983
1 207     285.708405 497.642700
5 207     290.110291 315.987854
1 208     423.095795 511.219910
2 208     485.659363 468.177887
3 208     477.904358 452.561737
4 208     427.692200 385.951569
5 208     434.527924 342.848816
6 208     634.020813 371.376892
7 208     700.855164 292.857513
8 208     497.760345 728.225098
9 208     629.267761 601.280029
1 209     522.936584 594.921326
2 209     587.886414 552.025635
3 209     578.728088 534.543030
1 210     401.948639 596.408875
7 210     677.579529 397.095917
1 211     338.377655 662.331055
2 211     403.553009 626.723511
3 211     390.934540 614.069946
4 211     330.431244 552.311462
5 211     342.751251 509.595520
6 211     535.276855 539.822998
7 211     595.149414 461.141296
9 211     524.302795 760.626404
1 212     344.418030 677.603699
2 212     410.197784 642.505005
3 212     396.600586 628.625305
4 212     337.363220 568.974182
5 212     349.471710 525.439331
8 212     388.550568 885.708069
1 213     366.636810 700.132324
2 213     439.164093 668.547546
3 213     420.290222 652.670898
4 213     347.570435 581.733154
5 213     371.607635 549.181519
6 213     566.672424 580.521729
7 213     623.851501 498.143250
8 213     401.596313 900.642090
9 213     555.813416 798.477722
1 214     138.086487 777.672058
2 214     185.601669 703.546753
3 214     191.172806 641.247742
4 214     127.651817 481.271515
5 214     134.692764 487.490295
6 214     324.614319 409.555725
7 214     384.589478 266.718933
9 214     311.808350 516.607056
1 215     552.099182 780.493530
2 215     609.522461 723.467834
3 215     607.828003 694.364380
5 215     562.955933 579.573242
1 216     112.487068 800.482239
2 216     159.114288 727.394836
3 216     164.072052 665.712463
4 216     97.380699 504.335175
5 216     106.199242 511.777100
6 216     292.705414 433.302277
7 216     351.026886 289.307770
1 217     100.211731 830.516724
2 217     146.877701 757.411194
3 217     151.592010 694.642883
4 217     84.148781 531.962097
5 217     93.170021 540.369690
1 218     435.131165 1095.811646
2 218     494.991638 1039.953979
3 218     486.342804 1004.883545
5 218     430.966644 882.996033
1 219     450.694092 1095.560791
2 219     513.499084 1038.858521
3 219     508.081818 1002.976440
1 220     361.193024 407.583130
2 220     413.874786 347.616821
1 221     405.865540 436.726227
2 221     463.720367 388.164246
1 222     375.858551 444.867340
2 222     436.358276 399.235474
1 223     450.104675 571.135864
2 223     517.525818 528.753052
3 223     510.152588 512.870972
1 224     85.766632 655.116638
3 224     134.173019 518.788696
1 225     547.586975 722.768311
2 225     584.106567 685.489014
5 225     515.490112 568.107971
6 225     677.748352 595.763367
1 226     127.439995 764.267395
2 226     172.710587 690.897766
3 226     177.669937 630.334106
4 226     111.637039 469.267731
5 226     120.539314 476.244965
6 226     306.602936 398.457947
7 226     365.731537 255.565109
9 226     292.753052 506.506622
1 227     97.141449 812.917297
2 227     142.465530 738.781067
3 227     147.217712 676.080505
4 227     79.804199 513.082520
5 227     88.764656 522.453918
6 227     274.266571 440.367126
1 228     21.363600 815.799988
6 228     196.665237 437.802307
1 229     31.203354 828.649780
5 229     22.713531 534.043579
6 229     206.010391 448.783112
7 229     261.123810 298.683960
9 229     186.237701 540.978333
1 230     64.764671 844.047607
6 230     245.266281 467.398468
7 230     305.141724 319.576965
8 230     69.517448 570.117676
9 230     233.319077 563.972351
1 231     299.431305 1083.297241
2 231     361.093140 1032.043091
3 231     352.168610 997.586182
4 231     284.660126 892.580627
5 231     295.841949 875.965088
1 232     77.924347 840.828369
3 232     126.407852 704.596985
